postcode,name,longitude,latitude,state_id
01284,OZAN,4.91667,46.3833,AIN
01123,CORMORANCHE-SUR-SAONE,4.83333,46.2333,AIN
01298,PLAGNE,5.73333,46.1833,AIN
01422,TOSSIAT,5.31667,46.1333,AIN
01309,POUILLAT,5.43333,46.3333,AIN
01421,TORCIEU,5.4,45.9167,AIN
01320,REPLONGES,4.88333,46.3,AIN
01119,CORCELLES,5.58333,46.0333,AIN
01288,PERON,5.93333,46.2,AIN
01319,RELEVANT,4.95,46.0833,AIN
01096,CHAVEYRIAT,5.06667,46.1833,AIN
01431,VAUX-EN-BUGEY,5.35,45.9167,AIN
01228,MAILLAT,5.55,46.1333,AIN
01156,FARAMANS,5.11667,45.9,AIN
01039,BEON,5.75,45.8333,AIN
01339,SAINT-BERNARD,4.73723,45.945,AIN
01329,ROSSILLON,5.6,45.8333,AIN
01304,PONT-D'AIN,5.33333,46.05,AIN
01269,NANTUA,5.61667,46.15,AIN
01094,CHAVANNES-SUR-REYSSOUZE,5,46.4333,AIN
01272,NEUVILLE-LES-DAMES,5,46.1667,AIN
01162,FLAXIEU,5.73333,45.8167,AIN
01187,HOTONNES,5.68333,46,AIN
01386,SAINT-SORLIN-EN-BUGEY,5.36667,45.8833,AIN
01409,SONGIEU,5.7,45.9667,AIN
01453,VIRIEU-LE-PETIT,5.71667,45.9,AIN
01345,SAINT-DENIS-EN-BUGEY,5.33333,45.95,AIN
01088,CHARNOZ-SUR-AIN,5.21667,45.8667,AIN
01099,CHAZEY-SUR-AIN,5.25,45.9,AIN
01233,MARCHAMP,5.55,45.7833,AIN
01138,CULOZ,5.78333,45.85,AIN
01230,MANTENAY-MONTLIN,5.08333,46.4167,AIN
01232,MARBOZ,5.25,46.3333,AIN
01163,FOISSIAT,5.18333,46.3667,AIN
01426,TREFFORT-CUISIAT,5.36834,46.2714,AIN
01193,IZIEU,5.63333,45.65,AIN
01350,SAINT-ETIENNE-DU-BOIS,5.28333,46.2833,AIN
01185,HAUTEVILLE-LOMPNES,5.6,45.9667,AIN
01389,SAINT-TRIVIER-SUR-MOIGNANS,4.9,46.0667,AIN
01293,PEYRIAT,5.51667,46.15,AIN
